A,1001,S,23,726
A,1002,B,27,754
A,1003,S,33,618
A,1004,S,35,535
A,1005,S,31,554
A,1006,S,40,661
A,1007,B,21,669
A,1008,B,37,605
A,1009,S,32,792
A,1010,S,22,553
A,1011,B,26,712
A,1012,B,24,638
A,1013,S,22,627
A,1014,S,40,780
A,1015,B,25,665
A,1016,B,25,763
A,1017,S,33,720
A,1018,S,23,655
A,1019,S,38,594
A,1020,B,31,538
A,1021,S,31,648
A,1022,S,28,569
A,1023,S,36,635
A,1024,B,36,561
A,1025,B,21,650
A,1026,S,28,663
A,1027,B,37,771
A,1028,B,30,629
A,1029,B,39,728
A,1030,S,20,756
A,1031,S,32,736
A,1032,S,30,585
A,1033,B,34,516
A,1034,B,33,775
A,1035,B,26,573
A,1036,S,35,640
A,1037,S,32,535
A,1038,S,38,626
A,1039,S,35,757
A,1040,B,33,641
A,1041,S,33,579
A,1042,B,22,657
X,1039,S,35,757
A,1045,S,20,552
A,1047,S,39,503
M,1018,S,23,628
A,1050,B,39,513
A,1052,B,30,718
A,1053,B,40,616
A,1054,B,35,710
A,1055,S,39,599
A,1069,S,24,757
A,1191,B,29,699
A,1192,S,22,653
A,1193,B,30,621
A,1194,S,37,549
A,1197,B,26,685
A,1199,B,40,521
